 Sponsor Name, Agency Name, Agency Phone, Program Name, Program Phone,  Program Address 1, Program City, Program State, Program Zip, Program Region, Program Type Description, Program Subcategory Description,
Jewish Board of Family & Children's Services,Jewish Board of Family & Children's Services,(212) 582-9100,Ittelson Center - CM,(718) 665-8916,5050 Iselin Avenue,Riverdale,NY,10471,New York City,Residential Treatment Facility Transition Coordinator - Community,Care Coordination,"5050 Iselin Avenue Riverdale NY, 10471"
Jewish Board of Family & Children's Services,Jewish Board of Family & Children's Services,(212) 582-9100,Consumer Self Help - MICA - Real Recovery,(718) 931-4045,55 Westchester Square,Bronx,NY,10461,New York City,Self-Help Programs,Self-Help,"55 Westchester Square Bronx NY, 10461"
Mental Health Association of NYC,Mental Health Association of NYC,(212) 254-0333,Family Recource Center - Bronx Zone 1,(718) 220-0456,975 Kelly Street,Bronx,NY,10459,New York City,"Family Support Services - Children & Family, Self-Help Programs","General Support, Self-Help","975 Kelly Street Bronx NY, 10459"
Montefiore Medical Center,Montefiore Medical Center,(718) 920-6215,P.S. 8 Briggs Avenue Academy - SBMH,(718) 920-4239,3010 Briggs Avenue,Bronx,NY,10458,New York City,School Based Mental Health,Education,"3010 Briggs Avenue Bronx NY, 10458"
New York City Children's Center,New York City Children's Center,(718) 264-4500,NYC Children's Center Bronx C&Y ICM,(718) 239-3703,1000 Waters Place,Bronx,NY,10461,New York City,"Intensive Case Management, Non-Medicaid Care Coordination",Care Coordination,"1000 Waters Place Bronx NY, 10461"
New York City Children's Center,New York City Children's Center,(718) 264-4500,Bronx ADH - Aftercare,(718) 742-6018,595 Gerard Ave,Bronx,NY,10451,New York City,Non-Medicaid Care Coordination,Care Coordination,"595 Gerard Ave Bronx NY, 10451"
New York City Health and Hospitals Corporation Lincoln Medical & Mental Health Center,NYC-HHC Lincoln Medical & Mental Health Cente,(718) 579-5000x5898,Geriatric Mental Health Act,(718) 579-5898,234 East 149 Street,Bronx,NY,10451,New York City,"Geriatric Demo Physical Health - Mental Health Integration, Outreach, Advocacy/Support Services","Care Coordination, General Support, Self-Help","234 East 149 Street Bronx NY, 10451"
New York City Health and Hospitals Corporation North Central Bronx Hospital,NYC-HHC North Central Bronx Hospital,(718) 519-5000,MED Liaison/Consultation,(718) 519-3915,3424 Kossuth Avenue,Bronx,NY,10467,New York City,Advocacy/Support Services,Self-Help,"3424 Kossuth Avenue Bronx NY, 10467"
Pibly Residential Programs Inc.,Pibly Residential Programs Inc.,(718) 863-4100,Outreach for Adult Homes Court Ordered,(718) 430-1313,2425 Westchester Avenue,Bronx,NY,10461-3538,New York City,Outreach,General Support,"2425 Westchester Avenue Bronx NY, 10461-3538"
Riverdale Mental Health Association Inc.,Riverdale Mental Health Association Inc.,(718) 796-5300,Innovative services for Seniors,(718) 796-5300,5676 Riverdale Avenue,Bronx,NY,10471,New York City,Outreach,General Support,"5676 Riverdale Avenue Bronx NY, 10471"
St. Barnabas Hospital,St. Barnabas Hospital,(718) 960-9000x6159,Forensic Linkage Transition - Non Medicaid CC,(718) 960-3205,260 East 188th St,Bronx,NY,10457-1104,New York City,Non-Medicaid Care Coordination,Care Coordination,"260 East 188th St Bronx NY, 10457-1104"
St. Dominic's Home,St. Dominic's Home,(845) 359-3400,St. Dominic's Home - C&Y BCM,(718) 584-4407x115,2341 University Avenue,Bronx,NY,10468,New York City,Blended and Intensive Case Management,Care Coordination,"2341 University Avenue Bronx NY, 10468"
St. Dominic's Home,St. Dominic's Home,(845) 359-3400,St. Dominic's - HCBW Services,(718) 295-9112,One Fordham Plaza Suite 500,Bronx,NY,10458,New York City,Home and Community Based Services (HCBS) Waiver,Care Coordination,"One Fordham Plaza Suite 500 Bronx NY, 10458"
St. Dominic's Home,St. Dominic's Home,(845) 359-3400,St. Dominic's-Bronx -Non Medicad CC,(917) 645-9100,853 Longwood Avenue #202,Bronx,NY,10459,New York City,Non-Medicaid Care Coordination,Care Coordination,"853 Longwood Avenue #202 Bronx NY, 10459"
Steinway Child and Family Services Inc.,Steinway Child and Family Services Inc.,(718) 389-5100,Steinway Child and Family Services - C&Y BCM - Bronx,(718) 537-5435,522 Courtlandt Avenue,Bronx,NY,10451,New York City,Blended Case Management,Care Coordination,"522 Courtlandt Avenue Bronx NY, 10451"
University Consultation & Treatment Center for Mental Health Inc.,Univ. Consultation & Tx Ctr for MH Inc.,(718) 293-8400,Univ. Consultation & Tx Ctr for MH Inc. - HH CM,(718) 293-8400,1020 Grand Concourse,Bronx,NY,10451,New York City,Health Home Care and Non-Medicaid Care Management,Care Coordination,"1020 Grand Concourse Bronx NY, 10451"
Visiting Nurse Service of New York,Visiting Nurse Service of New York,(212) 609-1588,VNS - Geriatric MH - Bronx - Non Medicaid CC,(718) 536-3225,1200 Waters Place 4th FL,Bronx,NY,10461,New York City,"Non-Medicaid Care Coordination, Outreach",Care Coordination,"1200 Waters Place 4th FL Bronx NY, 10461"
Woodycrest Center for Human Development,Woodycrest Center for Human Development,(718) 992-4256,Woodycrest - School Based MH,(718) 292-7171x1131,730 Grand Concourse Village Building A,Bronx,NY,10451,New York City,School Based Mental Health,Education,"730 Grand Concourse Village Building A Bronx NY, 10451"
Young Adult Institute Inc.,Young Adult Institute Inc.,(212) 273-6147,YAI CAPABLE,(718) 792-6221x206,2360 Westchester Avenue,Bronx,NY,10462,New York City,Ongoing Integrated Supported Employment Services,Vocational,"2360 Westchester Avenue Bronx NY, 10462"
